,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03
623,FUCK,SMC,JNS,FIMK,GJC,SIFT,CFT,SCORE,NKA,XCPO,RNS,AU,FLT,FJC,SIFT,OCL,IFLT,XLC,FUCK,RIYA
624,ALTCOM,ORB,TES,AU,INPAY,FST,SIFT,42,OCL,BYC,DRXNE,FST,MEC,BRO,FST,MEC,OCL,SCT,RNS,FIMK
625,KLC,EL,KEK,INFX,MAC,BRIT,ICOO,NET,JET,EMV,FST,MEC,XCPO,DAR,IFLT,DAR,ELE,GRE,XLC,CRM
626,AU,JNS,UNB,PIPL,BTA,KLN,KLN,ALTCOM,DRXNE,ECASH,HAL,UNB,42,MEC,CDN,XLC,GIM,EPY,RKC,XLC
627,FST,MOJO,NKA,MRT,CFT,INFX,42,KLN,SCORE,NET,TTC,INSN,XCN,BTA,MEC,CDN,CTX,UNB,UNB,PIPL
628,IFLT,KURT,ALTCOM,SCORE,UNB,INPAY,FUCK,HAL,ICOO,JET,NET,BTA,INSN,CTX,KBR,UNIFY,UIS,LINX,CRM,ARC
629,CPC,AU,MRT,BTA,DSR,ETG,OPC,MAC,KLN,UIS,BTA,XCN,RKC,IFLT,XCPO,LGD,PIPL,CMPCO,LINX,RNS
630,MOJO,MRT,FIMK,ORB,PIPL,TES,PIPL,OPC,FST,UNB,ECASH,FLT,ABJ,CFT,POP,GIM,CMPCO,CTX,FIMK,UNB
631,SCORE,DGC,CCRB,VIDZ,ALTCOM,DSR,BYC,CRM,ABJ,KLN,42,TTC,CFT,SCORE,RNS,FJC,UNB,RNS,SIFT,UNIFY
632,DSR,CCRB,SIFT,ABJ,INFX,UNB,FST,ICOO,LGD,INFX,BYC,HAL,UNB,ABJ,LGD,ARC,FLT,MEC,YASH,EPY
633,ATOM,FIMK,FUCK,UIS,CRM,MZC,MZC,ABJ,INSN,42,MOIN,MZC,AU,AU,ARC,SCORE,FJC,SCORE,FJC,SKIN
634,TROLL,CPC,FST,BYC,JET,BTA,TES,CFT,CFT,LGD,UNB,NKA,DSR,BYC,FUCK,IFLT,WDC,ELE,KBR,FJC
635,KEK,ZET,ICOO,TES,TES,FIMK,UNB,FST,UNB,FIMK,BUN,BYC,FST,NET,MZC,DGC,ARC,FLT,CMPCO,SCT
636,I0C,DSR,SAGA,MBI,UIS,IFLT,BTA,DSR,INFX,ICOO,ICOO,DSR,BYC,FST,ECASH,INFX,LINX,YASH,DCY,KEK
637,SAGA,TROLL,ZENI,KEK,NKA,MAC,ELE,MZC,42,BTA,LGD,DGC,BTA,BUN,BYC,BYC,MEC,GJC,FLT,DCY
638,ETG,EBET,DGC,TRCT,42,ABJ,SCORE,JET,FIMK,DRXNE,SCORE,MOIN,PIPL,DSR,DGC,ECASH,EBET,FIMK,GRWI,WDC
639,KURT,MBI,BUN,CCRB,ICOO,PIPL,DSR,STN,IETH,MZC,UIS,CRM,ECASH,XCN,INFX,EBET,CDN,JET,UNIFY,LINX
640,ATS,MNE,BBP,IFLT,ZET,CRM,ORB,CNT,BTA,SCORE,SKC,IFLT,MBI,DGC,DSR,XCN,SIFT,CJ,PIPL,RKC
641,TES,PIPL,STRC,STN,STN,ICOO,CRM,DRXNE,MZC,HODL,SMLY,ABJ,LGD,LGD,FJC,INSN,SCORE,PIPL,GIM,MOJO
642,ZENI,TRCT,AU,SAGA,CPAY,ATS,STN,KEK,HAL,CFT,KLN,LGD,IFLT,MZC,ABJ,RKC,ECASH,DCY,ELE,ETBS
643,DGC,BTCR,NETKO,42,MZC,KEK,KEK,FIMK,ALTCOM,ALTCOM,INFX,INFX,KLN,INFX,EBET,XCPO,MZC,CDN,CTX,MZC
644,BTCRED,FC2,CORG,HTC,VIDZ,MBI,FIMK,IFLT,ETG,SMLY,PIPL,KLN,SCORE,MCRN,PIPL,PIPL,LGD,LGD,WDC,HTC
645,ZET,I0C,MBI,EL,ORB,VIDZ,MBI,BUN,TTC,HAL,MZC,SCORE,INFX,POP,XCN,LNK,XCN,FJC,ARC,JET
646,MRT,FST,TRCT,FST,FST,42,UIS,ETG,IFLT,MAC,KEK,CFT,SIFT,SIFT,BTA,CRM,DGC,BYC,NIMFA,ELE
647,BIGUP,GRWI,ACE,BBP,MRT,CCRB,SDC,BTA,SMLY,SIFT,ABJ,SIFT,TTC,INSN,AU,MZC,BRO,MZC,USC,KBR
648,ACC,TKR,GRWI,BUN,CCRB,ORB,MCRN,UIS,MCRN,CCRB,DSR,DRXNE,JNS,ECASH,KLN,FST,BYC,SKIN,BTA,GRWI
649,DAXX,NKA,HODL,EOT,SAGA,STN,BUN,PIPL,EMV,ELE,LANA,STN,DGC,KLN,HTC,HTC,HTC,NIMFA,XCN,FLT
650,MCRN,STARS,FC2,GRWI,FUCK,CFT,HTC,TES,HTC,PIPL,DGC,SKC,STN,USC,INSN,BTA,USC,USC,MZC,ATS
651,ORB,HODL,TROLL,ZET,HTC,ZET,MAC,GRWI,UIS,ETG,MBI,SKIN,CJ,HTC,CORG,ETG,HPC,XCN,ABJ,BTA
652,XCXT,EMV,EBET,DFS,ATS,TRCT,BLAS,TRCT,MAC,DGC,DAXX,HTC,SKC,FUCK,UNI,KLN,XCPO,HTC,INSN,SCORE
653,XPD,NETKO,ATS,CORG,GUN,UIS,CCRB,SMLY,TES,DSR,HTC,ECASH,HAL,HAL,HAL,USC,ABJ,GIM,ACE,BRO
654,VISIO,DEM,ZET,FC2,BBP,GRWI,ZET,VIDZ,CRM,ARI,ZET,PIPL,MCRN,MBI,STN,EMV,BTA,KBR,CDN,BYC
655,MAC,BTB,XCXT,SMC,TRCT,MRT,ATS,CCRB,ECASH,JNS,ALTCOM,TRCT,SKIN,PIPL,USC,JET,CJ,ARC,AU,POP
656,EBET,ATOM,AMS,NETKO,XCT,HTC,CNT,CORG,ELE,TRCT,CFT,MCRN,MZC,STN,MBI,SKIN,DSR,BTA,CCRB,INSN
657,GRWI,XCXT,ITI,ZENI,BUN,LDOGE,SUPER,ELE,CCRB,IFLT,GAIA,KEK,FUCK,BBP,BRO,POP,CFT,DGC,SKIN,CDN
658,JNS,FCN,MNE,JET,MBI,BLAS,SAGA,SDC,PIPL,SKIN,TRCT,LDOGE,CCRB,EBET,ATS,NET,AU,XCPO,LGD,FST
659,EMV,BBP,LOG,DGC,YASH,SAGA,VIDZ,JNS,KEK,ZENI,GRWI,ALTCOM,BPC,GRWI,CRM,ABJ,INFX,DFS,KEK,LGD
660,TRCT,ZENI,DEM,FUCK,DGC,OPC,IFLT,ATS,SIFT,INPAY,JNS,FUCK,DRXNE,GUN,INPAY,STN,KLN,INFX,CJ,CTX
661,MBI,ITI,KURT,UTC,SIFT,ACE,BTCR,YASH,TRCT,TES,CCRB,ZET,STRC,CORG,SDC,SIFT,KEK,SIFT,XCPO,SDC
